DH_Mortos,DH_Desabrigados,DH_Desalojados,DM_Unidades Habitacionais Destruídas,DM_Instalações públicas de saúde Valor,DM_Instalações públicas de ensino Valor,pontuacao,prioridade
1.8084112463716893,1177.2850462999893,2476.0189732751037,16.176440115947138,239618.71070377997,679607.6577236347,9,Alta
1.629645954753395,1351.815712389683,2302.1995325962316,19.004694865655566,528954.2879179346,386760.0185670593,10,Alta
3.9188744776982984,930.3623117099853,2227.399124560053,26.751377106511953,212662.35706066235,796420.6798599891,9,Alta
3.306319366777023,1252.9296719412619,1938.5375069988454,27.209046839181383,615560.0944569081,352265.16609164147,10,Alta
4.301233993695928,598.4146832471498,2924.3504675407003,20.525809194548675,578736.696828222,272548.98377285455,9,Alta
1.199981696746352,574.5059173034115,1404.3162010550736,15.07864839517638,327715.35420004337,258686.73974150294,9,Alta
2.6558742003878675,966.1570259575352,2711.285323727643,12.816869132288758,504755.897016809,636915.1841544749,10,Alta
0.42964411968685334,633.6287350391915,3135.9443621103683,18.736244096853184,720027.3768265065,450064.5825923928,9,Alta
5.464686572056848,1005.6569934095953,1840.313841384224,17.516778479124227,652966.3479940688,874727.8400957675,9,Media
3.1662815470017867,745.3843880230922,1084.9006519667557,17.59144330169639,454693.94128595624,443429.1108074299,9,Alta
3.8606959175239366,1240.645751719738,3180.0178618751993,14.808213944758474,453005.41012316523,722082.3878044686,10,Alta
3.109254621107401,926.5608560332256,1015.2573799579304,13.906740327630986,508297.1209270523,270935.3621464029,9,Baixa
3.394183347466275,1306.7348689012388,2151.6332633923935,30.95563667429694,703761.0830815556,264081.02455191454,10,Alta
2.630919474098166,701.9292756776356,1562.9316816034957,26.604479152095813,458098.5958150705,542391.7530307492,9,Alta
2.2984602498627242,1595.19587288675,2324.8879032075665,23.089692104891224,671567.4413291847,400796.0589292692,10,Alta
2.7931856289318846,716.5075955793747,2314.0850319442056,25.582029271506237,382998.40447748156,720700.4116147828,9,Alta
1.692997803875334,1198.4864527992804,2821.470383336716,22.59253261553218,431163.1331363361,429898.99484998814,10,Alta
1.9570777208875285,924.8654811596484,2213.083905318053,24.88742251644135,517615.6446800241,330137.09495733836,9,Alta
5.42881878808561,1000.7138814095331,2112.4354978561837,26.589451489214362,322556.6620353938,652734.1756166408,9,Alta
3.587589666354147,1517.3612240425157,2177.6416498311924,25.51739267328138,372704.1504546426,406552.36825092725,9,Alta
2.3510687617793558,1051.9232237096726,2776.21451638608,23.279761669254718,366054.3475616963,453382.68427734514,10,Alta
5.173680159582534,780.6647793107827,2103.1473763362087,15.792796994014788,659506.5424057855,764053.9607582939,9,Media
